,element,binding_energy,nuetron_number,element_name,proton_number
155,46Ca,398.7791,46,Ca,20
156,23Ne,182.9756,23,Ne,10
157,34P,287.2506,34,P,15
158,36Ar,306.7192,36,Ar,18
159,47Ca,406.0556,47,Ca,20
160,24Ne,191.8410,24,Ne,10
161,35P,295.6221,35,P,15
162,37Ar,315.5087,37,Ar,18
163,48Ca,415.9961,48,Ca,20
164,19Na,131.8232,19,Na,11
165,36P,299.0876,36,P,15
166,38Ar,327.3472,38,Ar,18
167,49Ca,421.1426,49,Ca,20
168,20Na,145.9837,20,Na,11
169,37P,306.1680,37,P,15
170,39Ar,333.9447,39,Ar,18
171,50Ca,427.4950,50,Ca,20
172,21Na,163.0832,21,Na,11
173,38P,309.1395,38,P,15
174,40Ar,343.8141,40,Ar,18
175,51Ca,431.0065,51,Ca,20
176,22Na,174.1506,22,Na,11
177,28S,209.3523,28,S,16
178,41Ar,349.9126,41,Ar,18
179,52Ca,436.5280,52,Ca,20
180,23Na,186.5691,23,Na,11
181,29S,224.7138,29,S,16
182,42Ar,359.3381,42,Ar,18
183,53Ca,439.0245,53,Ca,20
184,24Na,193.5286,24,Na,11
185,30S,243.6883,30,S,16
186,43Ar,364.9696,43,Ar,18
187,54Ca,444.1909,54,Ca,20
188,25Na,202.5401,25,Na,11
189,31S,256.7417,31,S,16
190,44Ar,373.3211,44,Ar,18
191,55Ca,445.5924,55,Ca,20
192,26Na,208.1556,26,Na,11
193,32S,271.7842,32,S,16
194,45Ar,378.8525,45,Ar,18
195,56Ca,449.8239,56,Ca,20
196,27Na,214.9230,27,Na,11
197,33S,280.4257,33,S,16
198,46Ar,386.9240,46,Ar,18
199,57Ca,450.3754,57,Ca,20
200,40Sc,326.9538,40,Sc,21
201,52V,453.1587,52,V,23
202,60Mn,517.6276,60,Mn,25
203,64Co,555.2396,64,Co,27
204,41Sc,343.1423,41,Sc,21
205,53V,461.6381,53,V,23
206,61Mn,524.7321,61,Mn,25
207,65Co,562.6801,65,Co,27
208,42Sc,354.6918,42,Sc,21
209,54V,467.7526,54,V,23
210,62Mn,529.1306,62,Mn,25
211,66Co,568.3571,66,Co,27
212,43Sc,366.8293,43,Sc,21
213,55V,475.0851,55,V,23
214,63Mn,535.7720,63,Mn,25
215,67Co,575.7331,67,Co,27
216,44Sc,376.5287,44,Sc,21
217,56V,480.1166,56,V,23
218,64Mn,539.9535,64,Mn,25
219,68Co,580.1145,68,Co,27
220,45Sc,387.8542,45,Sc,21
221,57V,486.4030,57,V,23
222,65Mn,545.7850,65,Mn,25
223,69Co,586.7960,69,Co,27
224,46Sc,396.6147,46,Sc,21
225,58V,490.3195,58,V,23
226,66Mn,549.3065,66,Mn,25
227,70Co,590.7075,70,Co,27
228,47Sc,407.2582,47,Sc,21
229,59V,496.2410,59,V,23
230,67Mn,554.8979,67,Mn,25
231,71Co,596.7590,71,Co,27
232,48Sc,415.4916,48,Sc,21
233,60V,499.3925,60,V,23
234,68Mn,557.5894,68,Mn,25
235,72Co,600.3304,72,Co,27
236,49Sc,425.6291,49,Sc,21
237,61V,504.6940,61,V,23
238,69Mn,562.5009,69,Mn,25
239,73Co,605.8919,73,Co,27
240,50Sc,431.6796,50,Sc,21
241,62V,507.3554,62,V,23
242,47Fe,366.4260,47,Fe,26
243,74Co,609.3134,74,Co,27
244,51Sc,438.4321,51,Sc,21
245,63V,511.9369,63,V,23
246,48Fe,385.2175,48,Fe,26
247,75Co,614.6549,75,Co,27
248,52Sc,443.3455,52,Sc,21
249,64V,514.1984,64,V,23
250,49Fe,399.7389,49,Fe,26
251,53Ni,435.2600,53,Ni,28
252,53Sc,449.5870,53,Sc,21
253,44Cr,349.8164,44,Cr,24
254,50Fe,417.7004,50,Fe,26
255,54Ni,453.1614,54,Ni,28
256,54Sc,452.9835,54,Sc,21
257,45Cr,363.8479,45,Cr,24
258,51Fe,431.5189,51,Fe,26
259,55Ni,467.3529,55,Ni,28
260,55Sc,457.9300,55,Sc,21
261,46Cr,381.9814,46,Cr,24
262,52Fe,447.7044,52,Fe,26
263,56Ni,483.9954,56,Ni,28
264,56Sc,460.3415,56,Sc,21
265,47Cr,395.1339,47,Cr,24
266,53Fe,458.3878,53,Fe,26
267,57Ni,494.2429,57,Ni,28
268,57Sc,464.8229,57,Sc,21
269,48Cr,411.4703,48,Cr,24
270,54Fe,471.7663,54,Fe,26
271,58Ni,506.4623,58,Ni,28
272,58Sc,466.5144,58,Sc,21
273,49Cr,422.0518,49,Cr,24
274,55Fe,481.0638,55,Fe,26
275,59Ni,515.4618,59,Ni,28
276,59Sc,470.5159,59,Sc,21
277,50Cr,435.0523,50,Cr,24
278,56Fe,492.2623,56,Fe,26
279,60Ni,526.8503,60,Ni,28
280,41Ti,329.4069,41,Ti,22
281,51Cr,444.3138,51,Cr,24
282,57Fe,499.9087,57,Fe,26
283,61Ni,534.6708,61,Ni,28
284,42Ti,346.9093,42,Ti,22
285,52Cr,456.3522,52,Cr,24
286,58Fe,509.9532,58,Fe,26
287,62Ni,545.2682,62,Ni,28
288,43Ti,359.1798,43,Ti,22
289,53Cr,464.2917,53,Cr,24
290,59Fe,516.5347,59,Fe,26
291,63Ni,552.1067,63,Ni,28
292,44Ti,375.4793,44,Ti,22
293,54Cr,474.0112,54,Cr,24
294,60Fe,525.3512,60,Fe,26
295,64Ni,561.7642,64,Ni,28
296,45Ti,385.0088,45,Ti,22
297,55Cr,480.2577,55,Cr,24
298,61Fe,530.9356,61,Fe,26
299,65Ni,567.8617,65,Ni,28
300,46Ti,398.1993,46,Ti,22
301,56Cr,488.5141,56,Cr,24
302,62Fe,538.9841,62,Fe,26
303,66Ni,576.8381,66,Ni,28
304,47Ti,407.0767,47,Ti,22
305,57Cr,493.9856,57,Cr,24
306,63Fe,543.3496,63,Fe,26
307,67Ni,582.6236,67,Ni,28
308,48Ti,418.7042,48,Ti,22
309,58Cr,501.4171,58,Cr,24
310,64Fe,551.4791,64,Fe,26
311,68Ni,590.4351,68,Ni,28
312,49Ti,426.8467,49,Ti,22
313,59Cr,505.5936,59,Cr,24
314,65Fe,555.8025,65,Fe,26
315,69Ni,595.4836,69,Ni,28
316,50Ti,437.7862,50,Ti,22
317,60Cr,512.5400,60,Cr,24
318,66Fe,562.9940,66,Fe,26
319,70Ni,602.9515,70,Ni,28
